case,phase,values,mt
AnxiousCalm,A,34,24
AnxiousCalm,A,35,25
AnxiousCalm,A,32,26
AnxiousCalm,A,34,27
AnxiousCalm,A,29,28
AnxiousCalm,B,35,29
AnxiousCalm,B,33,30
AnxiousCalm,B,33,31
AnxiousCalm,B,34,32
AnxiousCalm,B,35,33
AnxiousCalm,B,35,34
AnxiousCalm,B,36,35
AnxiousCalm,B,35,36
AnxiousCalm,B,35,37
AnxiousCalm,B,30,38
AnxiousCalm,B,33,39
AnxiousCalm,B,30,40
AnxiousCalm,B,29,41
AnxiousCalm,B,30,42
AnxiousCalm,B,30,43
AnxiousCalm,B,31,44
AnxiousCalm,B,33,45
AnxiousCalm,B,34,46
AnxiousCalm,B,33,47
AnxiousCalm,B,34,48
AnxiousCalm,B,35,49
AnxiousCalm,B,30,50
AnxiousCalm,B,30,51
AnxiousCalm,B,34,52
AnxiousCalm,B,33,53
AnxiousCalm,B,32,54
AnxiousCalm,B,31,55
AnxiousCalm,B,31,56
AnxiousCalm,B,31,57
AnxiousCalm,B,32,58
AnxiousCalm,B,33,59
AnxiousCalm,B,34,60
AnxiousCalm,B,35,61
AnxiousCalm,B,34,62
AnxiousCalm,B,33,63
AnxiousCalm,B,34,64
AnxiousCalm,B,35,65
AnxiousCalm,B,36,66
AnxiousCalm,B,36,67
AnxiousCalm,B,33,68
AnxiousCalm,B,30,69
AnxiousCalm,B,28,70
AnxiousCalm,A2,30,71
AnxiousCalm,A2,32,72
AnxiousCalm,A2,34,73
AnxiousCalm,A2,34,74
AnxiousCalm,A2,34,75
AnxiousCalm,A2,35,76
AnxiousCalm,A2,36,77
AnxiousCalm,A2,32,78
AnxiousCalm,A2,31,79
AnxiousCalm,A2,33,80
AnxiousCalm,A2,30,81
AnxiousCalm,A2,35,82
AnxiousCalm,A2,34,83
AnxiousCalm,A2,33,84
AnxiousCalm,A2,28,85
AnxiousCalm,A2,28,86
AnxiousCalm,A2,29,87
AnxiousCalm,A2,30,88
AnxiousCalm,A2,30,89
AnxiousCalm,A2,30,90
AnxiousCalm,A2,30,91
AnxiousCalm,A2,30,92
AnxiousCalm,A2,31,93
AnxiousCalm,A2,31,94
AnxiousCalm,A2,32,95
AnxiousCalm,A2,33,96
AnxiousCalm,A2,34,97
AnxiousCalm,A2,32,98
AnxiousCalm,C,34,99
AnxiousCalm,C,35,100
AnxiousCalm,C,35,101
AnxiousCalm,C,35,102
AnxiousCalm,C,36,103
AnxiousCalm,C,34,104
AnxiousCalm,C,33,105
AnxiousCalm,C,30,106
AnxiousCalm,C,31,107
AnxiousCalm,C,31,108
AnxiousCalm,C,32,109
AnxiousCalm,C,32,110
AnxiousCalm,C,32,111
AnxiousCalm,C,32,112
AnxiousCalm,C,32,113
AnxiousCalm,C,32,114
AnxiousCalm,C,31,115
AnxiousCalm,C,31,116
AnxiousCalm,C,31,117
AnxiousCalm,C,32,118
AnxiousCalm,C,31,119
AnxiousCalm,C,32,120
AnxiousCalm,C,34,121
AnxiousCalm,C,34,122
AnxiousCalm,C,35,123
AnxiousCalm,C,29,124
AnxiousCalm,C,35,125
AnxiousCalm,C,35,126
AnxiousCalm,C,30,127
AnxiousCalm,C,33,128
AnxiousCalm,C,32,129
AnxiousCalm,C,35,130
AnxiousCalm,C,36,131
AnxiousCalm,C,31,132
AnxiousCalm,C,29,133
AnxiousCalm,C,28,134
AnxiousCalm,C,27,135
AnxiousCalm,C,28,136
AnxiousCalm,C,30,137
AnxiousCalm,C,31,138
AnxiousCalm,C,31,139
AnxiousCalm,C,31,140
AnxiousCalm,FU,30,141
AnxiousCalm,FU,33,142
AnxiousCalm,FU,30,143
AnxiousCalm,FU,30,144
AnxiousCalm,FU,30,145
AnxiousCalm,FU,30,146
AnxiousCalm,FU,30,147
AnxiousCalm,FU,30,148
AnxiousCalm,FU,30,149
AnxiousCalm,FU,30,150
AnxiousCalm,FU,34,151
AnxiousCalm,FU,30,152
AnxiousCalm,FU,30,153
AnxiousCalm,FU,30,154
AnxiousCalm,FU,40,155
AnxiousCalm,FU,30,156
AnxiousCalm,FU,30,157
AnxiousCalm,FU,30,158
AnxiousCalm,FU,30,159
AnxiousCalm,FU,37,160
AnxiousCalm,FU,37,161
AnxiousCalm,FU,30,162
AnxiousCalm,FU,30,163
AnxiousCalm,FU,30,164
AnxiousCalm,FU,30,165
AnxiousCalm,FU,30,166
AnxiousCalm,FU,30,167
AnxiousCalm,FU,30,168
AnxiousCalm,FU,30,169
AnxiousCalm,FU,30,170
AnxiousCalm,FU,30,171
AnxiousCalm,FU,30,172
AnxiousCalm,FU,30,173
AnxiousCalm,FU,30,174
AnxiousCalm,FU,30,175
AnxiousCalm,FU,30,176
AnxiousCalm,FU,30,177
AnxiousCalm,FU,30,178
AnxiousCalm,FU,30,179
AnxiousCalm,FU,30,180
AnxiousCalm,FU,30,181
AnxiousCalm,FU,25,182
AnxiousCalm,FU,30,183
AnxiousCalm,FU,30,184
AnxiousCalm,FU,36,185
AnxiousCalm,FU,30,186
AnxiousCalm,FU,30,187
AnxiousCalm,FU,30,188
AnxiousCalm,FU,30,189
AnxiousCalm,FU,30,190
AnxiousCalm,FU,30,191
AnxiousCalm,FU,30,192
AnxiousCalm,FU,30,193
AnxiousCalm,FU,35,194
AnxiousCalm,FU,30,195
AnxiousCalm,FU,30,196
BoredExcited,A,17,1
BoredExcited,A,20,2
BoredExcited,A,20,3
BoredExcited,A,20,4
BoredExcited,A,20,5
BoredExcited,A,20,6
BoredExcited,A,20,7
BoredExcited,A,20,8
BoredExcited,A,20,9
BoredExcited,A,20,10
BoredExcited,A,20,11
BoredExcited,A,20,12
BoredExcited,A,20,13
BoredExcited,A,20,14
BoredExcited,A,20,15
BoredExcited,A,20,16
BoredExcited,A,20,17
BoredExcited,A,20,18
BoredExcited,A,15,19
BoredExcited,A,18,20
BoredExcited,A,20,21
BoredExcited,A,19,22
BoredExcited,A,12,23
BoredExcited,A,25,24
BoredExcited,A,20,25
BoredExcited,A,19,26
BoredExcited,A,20,27
BoredExcited,A,20,28
BoredExcited,B,25,29
BoredExcited,B,25,30
BoredExcited,B,25,31
BoredExcited,B,25,32
BoredExcited,B,22,33
BoredExcited,B,21,34
BoredExcited,B,20,35
BoredExcited,B,23,36
BoredExcited,B,34,37
BoredExcited,B,40,38
BoredExcited,B,40,39
BoredExcited,B,40,40
BoredExcited,B,40,41
BoredExcited,B,40,42
BoredExcited,B,40,43
BoredExcited,B,40,44
BoredExcited,B,40,45
BoredExcited,B,40,46
BoredExcited,B,40,47
BoredExcited,B,40,48
BoredExcited,B,40,49
BoredExcited,B,40,50
BoredExcited,B,40,51
BoredExcited,B,40,52
BoredExcited,B,40,53
BoredExcited,B,35,54
BoredExcited,B,35,55
BoredExcited,B,35,56
BoredExcited,B,36,57
BoredExcited,B,38,58
BoredExcited,B,37,59
BoredExcited,B,40,60
BoredExcited,B,32,61
BoredExcited,B,34,62
BoredExcited,B,33,63
BoredExcited,B,41,64
BoredExcited,B,32,65
BoredExcited,B,33,66
BoredExcited,B,34,67
BoredExcited,B,35,68
BoredExcited,B,36,69
BoredExcited,B,45,70
BoredExcited,A2,14,71
BoredExcited,A2,15,72
BoredExcited,A2,18,73
BoredExcited,A2,15,74
BoredExcited,A2,17,75
BoredExcited,A2,18,76
BoredExcited,A2,20,77
BoredExcited,A2,26,78
BoredExcited,A2,25,79
BoredExcited,A2,23,80
BoredExcited,A2,19,81
BoredExcited,A2,20,82
BoredExcited,A2,21,83
BoredExcited,A2,20,84
BoredExcited,A2,19,85
BoredExcited,A2,17,86
BoredExcited,A2,20,87
BoredExcited,A2,22,88
BoredExcited,A2,22,89
BoredExcited,A2,22,90
BoredExcited,A2,22,91
BoredExcited,A2,22,92
BoredExcited,A2,22,93
BoredExcited,A2,21,94
BoredExcited,A2,21,95
BoredExcited,A2,21,96
BoredExcited,A2,21,97
BoredExcited,A2,21,98
BoredExcited,C,40,99
BoredExcited,C,40,100
BoredExcited,C,42,101
BoredExcited,C,45,102
BoredExcited,C,44,103
BoredExcited,C,43,104
BoredExcited,C,45,105
BoredExcited,C,45,106
BoredExcited,C,56,107
BoredExcited,C,54,108
BoredExcited,C,54,109
BoredExcited,C,55,110
BoredExcited,C,55,111
BoredExcited,C,55,112
BoredExcited,C,55,113
BoredExcited,C,55,114
BoredExcited,C,55,115
BoredExcited,C,60,116
BoredExcited,C,60,117
BoredExcited,C,60,118
BoredExcited,C,60,119
BoredExcited,C,60,120
BoredExcited,C,35,121
BoredExcited,C,60,122
BoredExcited,C,60,123
BoredExcited,C,60,124
BoredExcited,C,60,125
BoredExcited,C,60,126
BoredExcited,C,60,127
BoredExcited,C,60,128
BoredExcited,C,54,129
BoredExcited,C,56,130
BoredExcited,C,57,131
BoredExcited,C,66,132
BoredExcited,C,70,133
BoredExcited,C,70,134
BoredExcited,C,70,135
BoredExcited,C,75,136
BoredExcited,C,75,137
BoredExcited,C,75,138
BoredExcited,C,75,139
BoredExcited,C,75,140
BoredExcited,FU,75,141
BoredExcited,FU,50,142
BoredExcited,FU,75,143
BoredExcited,FU,75,144
BoredExcited,FU,75,145
BoredExcited,FU,80,146
BoredExcited,FU,75,147
BoredExcited,FU,75,148
BoredExcited,FU,80,149
BoredExcited,FU,75,150
BoredExcited,FU,75,151
BoredExcited,FU,80,152
BoredExcited,FU,75,153
BoredExcited,FU,75,154
BoredExcited,FU,40,155
BoredExcited,FU,75,156
BoredExcited,FU,82,157
BoredExcited,FU,75,158
BoredExcited,FU,75,159
BoredExcited,FU,75,160
BoredExcited,FU,80,161
BoredExcited,FU,80,162
BoredExcited,FU,75,163
BoredExcited,FU,75,164
BoredExcited,FU,75,165
BoredExcited,FU,75,166
BoredExcited,FU,75,167
BoredExcited,FU,75,168
BoredExcited,FU,75,169
BoredExcited,FU,75,170
BoredExcited,FU,75,171
BoredExcited,FU,50,172
BoredExcited,FU,75,173
BoredExcited,FU,75,174
BoredExcited,FU,75,175
BoredExcited,FU,75,176
