case,phase,values,mt
Adherance2,A2,0,82
Adherance2,A2,0,83
Adherance2,A2,0,84
Adherance2,A2,0,85
Adherance2,A2,0,86
Adherance2,A2,0,87
Adherance2,A2,0,88
Adherance2,A2,0,89
Adherance2,A2,0,90
Adherance2,A2,0,91
Adherance2,A2,0,92
Adherance2,A2,0,93
Adherance2,A2,0,94
Adherance2,A2,0,95
Adherance2,A2,0,96
Adherance2,A2,0,97
Adherance2,A2,0,98
Adherance2,C,1,99
Adherance2,C,0,100
Adherance2,C,0,101
Adherance2,C,0,102
Adherance2,C,0,103
Adherance2,C,0,104
Adherance2,C,0,105
Adherance2,C,0,106
Adherance2,C,0,107
Adherance2,C,0,108
Adherance2,C,0,109
Adherance2,C,0,110
Adherance2,C,0,111
Adherance2,C,0,112
Adherance2,C,1,113
Adherance2,C,0,114
Adherance2,C,0,115
Adherance2,C,0,116
Adherance2,C,0,117
Adherance2,C,0,118
Adherance2,C,0,119
Adherance2,C,0,120
Adherance2,C,0,121
Adherance2,C,0,122
Adherance2,C,0,123
Adherance2,C,0,124
Adherance2,C,0,125
Adherance2,C,0,126
Adherance2,C,1,127
Adherance2,C,0,128
Adherance2,C,0,129
Adherance2,C,0,130
Adherance2,C,0,131
Adherance2,C,0,132
Adherance2,C,0,133
Adherance2,C,0,134
Adherance2,C,0,135
Adherance2,C,0,136
Adherance2,C,0,137
Adherance2,C,0,138
Adherance2,C,0,139
Adherance2,C,0,140
Adherance2,FU,0,141
Adherance2,FU,0,142
Adherance2,FU,0,143
Adherance2,FU,0,144
Adherance2,FU,0,145
Adherance2,FU,0,146
Adherance2,FU,0,147
Adherance2,FU,0,148
Adherance2,FU,0,149
Adherance2,FU,0,150
Adherance2,FU,0,151
Adherance2,FU,0,152
Adherance2,FU,0,153
Adherance2,FU,0,154
Adherance2,FU,0,155
Adherance2,FU,0,156
Adherance2,FU,0,157
Adherance2,FU,0,158
Adherance2,FU,0,159
Adherance2,FU,0,160
Adherance2,FU,0,161
Adherance2,FU,0,162
Adherance2,FU,0,163
Adherance2,FU,0,164
Adherance2,FU,0,165
Adherance2,FU,0,166
Adherance2,FU,0,167
Adherance2,FU,0,168
Adherance2,FU,0,169
Adherance2,FU,0,170
Adherance2,FU,0,171
Adherance2,FU,0,172
Adherance2,FU,0,173
Adherance2,FU,0,174
Adherance2,FU,0,175
Adherance2,FU,0,176
Adherance2,FU,0,177
Adherance2,FU,0,178
Adherance2,FU,0,179
Adherance2,FU,0,180
Adherance2,FU,0,181
Adherance2,FU,0,182
Adherance2,FU,0,183
Adherance2,FU,0,184
Adherance2,FU,0,185
Adherance2,FU,0,186
Adherance2,FU,0,187
Adherance2,FU,0,188
Adherance2,FU,0,189
Adherance2,FU,0,190
Adherance2,FU,0,191
Adherance2,FU,0,192
Adherance2,FU,0,193
Adherance2,FU,0,194
Adherance2,FU,0,195
Adherance2,FU,0,196
PHQ9,A,20,1
PHQ9,A,18,2
PHQ9,A,19,3
PHQ9,A,20,4
PHQ9,B,24,5
PHQ9,B,18,6
PHQ9,B,19,7
PHQ9,B,17,8
PHQ9,B,18,9
PHQ9,B,18,10
PHQ9,A2,20,11
PHQ9,A2,20,12
PHQ9,A2,19,13
PHQ9,A2,18,14
PHQ9,C,19,15
PHQ9,C,16,16
PHQ9,C,14,17
PHQ9,C,14,18
PHQ9,C,8,19
PHQ9,C,9,20
PHQ9,FU,6,21
PHQ9,FU,7,22
PHQ9,FU,9,23
PHQ9,FU,7,24
PHQ9,FU,6,25
PHQ9,FU,5,26
PHQ9,FU,8,27
PHQ9,FU,5,28
PHQ9,FU,5,29
